Identifier,ISOidentifier,Name,CapitalCity
AGO,AO,Angola,Luanda
BDI,BI,Burundi,Bujumbura
BEN,BJ,Benin,Porto-Novo
BFA,BF,Burkina Faso,Ouagadougou
BWA,BW,Botswana,Gaborone
CAF,CF,Central African Republic,Bangui
CIV,CI,Cote d'Ivoire,Yamoussoukro
CMR,CM,Cameroon,Yaounde
COD,CD,"Congo, Dem. Rep.",Kinshasa
COG,CG,"Congo, Rep.",Brazzaville
COM,KM,Comoros,Moroni
CPV,CV,Cabo Verde,Praia
ERI,ER,Eritrea,Asmara
ETH,ET,Ethiopia,Addis Ababa
GAB,GA,Gabon,Libreville
GHA,GH,Ghana,Accra
GIN,GN,Guinea,Conakry
GMB,GM,"Gambia, The",Banjul
GNB,GW,Guinea-Bissau,Bissau
GNQ,GQ,Equatorial Guinea,Malabo
KEN,KE,Kenya,Nairobi
LBR,LR,Liberia,Monrovia
LSO,LS,Lesotho,Maseru
MDG,MG,Madagascar,Antananarivo
MLI,ML,Mali,Bamako
MOZ,MZ,Mozambique,Maputo
MRT,MR,Mauritania,Nouakchott
MUS,MU,Mauritius,Port Louis
MWI,MW,Malawi,Lilongwe
NAM,NA,Namibia,Windhoek
NER,NE,Niger,Niamey
NGA,NG,Nigeria,Abuja
RWA,RW,Rwanda,Kigali
SDN,SD,Sudan,Khartoum
SEN,SN,Senegal,Dakar
SLE,SL,Sierra Leone,Freetown
SOM,SO,Somalia,Mogadishu
SSD,SS,South Sudan,Juba
STP,ST,Sao Tome and Principe,Sao Tome
SWZ,SZ,Eswatini,Mbabane
SYC,SC,Seychelles,Victoria
TCD,TD,Chad,N'Djamena
TGO,TG,Togo,Lome
TZA,TZ,Tanzania,Dodoma
UGA,UG,Uganda,Kampala
ZAF,ZA,South Africa,Pretoria
ZMB,ZM,Zambia,Lusaka
ZWE,ZW,Zimbabwe,Harare
